City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
493,Talara,PE,75.96,clear sky,-4.5772,-81.2719,Hospedaje El Aypate
496,Kavieng,PG,83.8,few clouds,-2.5744,150.7967,Kavieng Hotel
511,Puerto Colombia,CO,82.49,overcast clouds,10.9878,-74.9547,Hotel Puerto Colombia
516,Iquitos,PE,82.44,few clouds,-3.7481,-73.2472,Marfil del Amazonas
518,Bouna,CI,79.2,overcast clouds,9.2667,-3.0,Hôtel Éléphant  Bouna
523,Sulangan,PH,82.08,broken clouds,11.1373,123.7228,Marion's Inn
538,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Fidji Motel
554,Bowen,AU,79.57,overcast clouds,-20.0167,148.2333,Whitsunday Sands Resort
558,Angoche,MZ,77.76,few clouds,-16.2325,39.9086,Hotel Quirimbas
567,Boa Vista,BR,78.78,light rain,2.8197,-60.6733,Aipana Plaza Hotel
568,Bathsheba,BB,79.41,few clouds,13.2167,-59.5167,Atlantis Hotel
574,Sabang,ID,81.34,broken clouds,5.8933,95.3214,Sabang Hill
577,Mahibadhoo,MV,79.92,overcast clouds,3.7833,72.9667,Coral View Inn
581,Bubaque,GW,81.18,scattered clouds,11.2833,-15.8333,Chez Julio
586,San Alberto,CO,78.42,overcast clouds,7.7611,-73.3922,El Rubio
605,Sorong,ID,80.29,moderate rain,-0.8833,131.25,Hotel Membramo Marina
611,Vanimo,PG,79.34,overcast clouds,-2.6741,141.3028,CBC Guesthouse
623,Namatanai,PG,84.45,overcast clouds,-3.6667,152.4333,Namatanai Hotel
626,Oranjestad,AW,76.95,scattered clouds,12.524,-70.027,Hotel California
634,Bondoukou,CI,76.6,overcast clouds,8.0333,-2.8,Hotel Akakro
641,Waingapu,ID,78.31,overcast clouds,-9.6567,120.2641,HOTEL SANDLEWOOD
645,La Asuncion,VE,85.73,light rain,11.0333,-63.8628,Hotel La Ciudad
663,Porto Velho,BR,78.85,few clouds,-8.7619,-63.9039,Hotel Slaviero Essential Porto Velho
665,Harlingen,US,80.55,overcast clouds,26.1906,-97.6961,Holiday Inn Express
677,Mayumba,GA,76.08,overcast clouds,-3.432,10.6554,Résidence Hôtelière Fabso
