City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Baiao,BR,-2.7906,-49.6717,80.37,67,85,3.04,overcast clouds
80,Dubna,RU,56.7333,37.1667,15.01,97,99,4.23,overcast clouds
81,Halaucesti,RO,47.1,26.8,37.2,82,100,1.97,overcast clouds
82,Dikson,RU,73.5069,80.5464,-1.17,99,89,3.44,overcast clouds
83,Saint-Philippe,RE,-21.3585,55.7679,71.19,77,76,6.02,broken clouds
84,San Patricio,US,28.017,-97.5169,69.89,71,3,8.63,clear sky
85,Atuona,PF,-9.8,-139.0333,77.9,74,7,12.82,clear sky
86,Arraial Do Cabo,BR,-22.9661,-42.0278,73.54,91,31,23.85,scattered clouds
87,Vargashi,RU,55.3556,65.8467,4.15,78,100,5.41,overcast clouds
88,Marzuq,YE,14.4,46.4667,62.44,39,2,1.5,clear sky
89,Ribeira Grande,PT,38.5167,-28.7,65.77,94,99,21.99,light rain
90,Avarua,CK,-21.2078,-159.775,78.85,73,75,13.8,broken clouds
91,Bukoba,TZ,-1.3317,31.8122,65.82,81,27,4.59,scattered clouds
92,Faanui,PF,-16.4833,-151.75,78.84,72,5,7.92,clear sky
93,Castro,BR,-24.7911,-50.0119,59.49,96,95,10.47,overcast clouds
94,Grimshaw,CA,56.1834,-117.6027,3.97,78,99,11.5,overcast clouds
95,Bengkulu,ID,-3.8004,102.2655,76.55,85,100,2.44,overcast clouds
96,Nikolskoye,RU,59.7035,30.7861,26.49,96,91,4.7,overcast clouds
97,Faya,SA,18.3851,42.4509,52.32,63,3,3.29,clear sky
98,Yellowknife,CA,62.456,-114.3525,-10.44,76,98,11.01,overcast clouds
99,Lompoc,US,34.6391,-120.4579,68.02,73,0,12.66,clear sky
100,Klaksvik,FO,62.2266,-6.589,47.32,87,2,9.93,clear sky
101,Victoria,HK,22.2855,114.1577,77.38,92,10,8.01,clear sky
102,Bantry,IE,51.6833,-9.45,48.78,87,100,3.29,overcast clouds
103,Goderich,CA,43.7501,-81.7165,35.91,64,58,3.44,broken clouds
104,Tuy Hoa,VN,13.0833,109.3,74.01,92,18,2.48,few clouds
105,Lasa,IT,46.6166,10.7002,38.35,97,100,1.1,overcast clouds
106,Barabinsk,RU,55.3571,78.357,-13.65,96,74,4.68,broken clouds
107,Hilo,US,19.7297,-155.09,80.62,90,100,11.99,light rain
108,Laguna,US,38.421,-121.4238,64.31,45,0,4.61,clear sky
109,Ambon,ID,-3.6954,128.1814,78.24,15,20,4.61,few clouds
110,Sitka,US,57.0531,-135.33,33.69,55,75,9.22,broken clouds
111,Tasiilaq,GL,65.6145,-37.6368,28.56,65,91,9.4,overcast clouds
112,Marystown,CA,47.1666,-55.1483,45.73,95,100,17.6,light rain
113,Kapaa,US,22.0752,-159.319,80.58,80,100,3.44,overcast clouds
114,Harrisburg,US,40.2737,-76.8844,49.08,64,75,10.0,broken clouds
115,Yumen,CN,40.2833,97.2,-0.99,44,100,15.5,overcast clouds
116,Genova,IT,44.5,9.0667,42.96,80,100,5.01,overcast clouds
117,Thompson,CA,55.7435,-97.8558,19.56,86,100,18.41,light snow
118,Lipovu,RO,44.1,23.6333,39.56,76,49,7.07,light rain
119,Gizo,SB,-8.103,156.8419,82.94,75,100,8.39,light rain
120,Deputatskiy,RU,69.3,139.9,-36.94,99,25,3.67,scattered clouds
121,Goya,AR,-29.14,-59.2626,94.08,23,0,10.8,clear sky
122,Acapulco,MX,16.8634,-99.8901,84.02,74,40,6.91,scattered clouds
123,Shu,KZ,43.5983,73.7614,28.58,44,100,1.14,overcast clouds
124,Jintur,IN,19.6167,76.7,63.7,46,1,5.06,clear sky
125,Chokurdakh,RU,70.6333,147.9167,-35.97,100,99,3.53,overcast clouds
126,Tarauaca,BR,-8.1614,-70.7656,87.66,48,21,3.38,few clouds
127,Conceicao Da Barra,BR,-18.5933,-39.7322,73.81,93,100,8.57,moderate rain
128,Karratha,AU,-20.7377,116.8463,77.43,72,29,16.51,light rain
129,Nago,JP,26.5881,127.9761,72.03,87,0,8.01,clear sky
130,Qaanaaq,GL,77.484,-69.3632,-9.18,93,87,5.88,overcast clouds
131,Port Blair,IN,11.6667,92.75,79.29,81,56,2.26,broken clouds
132,Duldurga,RU,50.6761,113.5931,-10.66,73,36,15.86,scattered clouds
133,Pevek,RU,69.7008,170.3133,7.41,87,90,5.68,overcast clouds
134,Kalmunai,LK,7.4167,81.8167,77.76,78,100,6.49,overcast clouds
135,Kieta,PG,-6.2167,155.6333,81.59,82,96,4.45,light rain
136,Umm Kaddadah,SD,13.6017,26.6876,74.82,26,63,7.74,broken clouds
137,Ponta Delgada,PT,37.7333,-25.6667,69.49,94,40,12.66,scattered clouds
138,Mar Del Plata,AR,-38.0023,-57.5575,79.83,91,0,18.01,clear sky
139,Gamba,GA,-2.65,10.0,76.12,86,100,1.83,light rain
140,Nome,US,64.5011,-165.4064,3.27,60,0,3.44,clear sky
141,Batagay,RU,67.6333,134.6333,-47.2,99,83,1.19,broken clouds
142,Santa Fe,AR,-31.6333,-60.7,95.02,38,51,4.0,light rain
143,Port Moresby,PG,-9.4431,147.1797,80.46,78,100,3.96,overcast clouds
144,Hopkinsville,US,36.8656,-87.4886,55.02,90,100,5.75,overcast clouds
145,Balikpapan,ID,-1.2675,116.8289,77.99,78,40,12.66,light rain
146,Te Anau,NZ,-45.4167,167.7167,52.29,97,100,0.65,light rain
147,Kuzino,RU,57.0224,59.4412,1.89,96,25,2.21,scattered clouds
148,Pau Dos Ferros,BR,-6.1125,-38.2063,85.19,42,25,9.71,scattered clouds
149,Basudebpur,IN,21.1353,86.7386,67.15,54,0,6.15,clear sky
150,Grindavik,IS,63.8424,-22.4338,34.27,75,40,12.66,scattered clouds
151,Ewa Beach,US,21.3156,-158.0072,76.08,87,100,5.75,light rain
152,Tautira,PF,-17.7333,-149.15,77.72,78,9,10.85,clear sky
153,Nanlong,CN,31.3533,106.0631,52.93,63,100,9.37,overcast clouds
154,Narsaq,GL,60.9167,-46.05,44.82,88,100,5.17,overcast clouds
155,Cadiz,ES,36.5,-5.75,51.75,56,26,4.63,scattered clouds
156,Thinadhoo,MV,0.5333,72.9333,80.38,77,18,8.32,few clouds
157,Greensburg,US,40.3015,-79.5389,43.18,88,100,1.99,overcast clouds
158,Zyryanka,RU,65.75,150.85,-18.42,98,100,16.58,light snow
159,Volchikha,RU,52.0333,80.3833,-14.71,95,21,3.51,few clouds
160,New Albany,US,38.2856,-85.8241,50.16,82,100,6.91,overcast clouds
161,Tambun,ID,-6.2641,107.0712,82.49,79,99,2.62,overcast clouds
162,Cutro,IT,39.0353,16.9819,47.66,70,99,5.7,overcast clouds
163,Puerto Ayora,EC,-0.7393,-90.3518,78.76,87,89,5.01,overcast clouds
164,Inhambane,MZ,-23.865,35.3833,73.99,80,100,15.48,light rain
165,Cayenne,GF,4.9333,-52.3333,77.04,88,20,0.0,few clouds
166,Georgetown,MY,5.4112,100.3354,80.24,87,20,3.44,few clouds
167,Carnarvon,AU,-24.8667,113.6333,70.93,83,0,12.48,clear sky
168,Nanortalik,GL,60.1432,-45.2371,35.55,82,100,11.79,overcast clouds
169,Mataura,NZ,-46.1927,168.8643,59.49,60,100,4.41,overcast clouds
170,Sahuaripa,MX,29.05,-109.2333,77.99,10,5,10.22,clear sky
171,Anloga,GH,5.7947,0.8973,81.54,77,52,10.4,broken clouds
172,Kropotkin,RU,45.4375,40.5756,39.04,66,58,17.36,broken clouds
173,Alekseyevka,RU,50.6309,38.6903,27.41,71,56,10.11,broken clouds
174,Santa Cruz De La Palma,ES,28.6835,-17.7642,69.94,68,100,9.22,overcast clouds
175,Verkhnyaya Inta,RU,65.9811,60.3094,8.31,93,100,9.53,overcast clouds
176,Hasaki,JP,35.7333,140.8333,61.2,66,98,24.56,overcast clouds
177,Tuatapere,NZ,-46.1333,167.6833,59.99,66,95,2.64,light rain
178,Broome,US,42.2506,-75.833,38.7,91,100,11.5,overcast clouds
179,Bairiki,KI,1.3292,172.9752,86.0,70,20,5.75,few clouds
180,Mubi,NG,10.2676,13.2644,68.85,27,4,2.98,clear sky
181,Bethel,US,41.3712,-73.414,48.07,66,20,10.36,few clouds
182,Lago Da Pedra,BR,-4.3333,-45.1667,73.63,94,100,1.9,light rain
183,Mogadishu,SO,2.0371,45.3438,79.93,77,84,13.71,broken clouds
